
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
TX,Gaines,9,9,4,373,2,17,,197,3,,3,12,690,4,10,837,29,42,22,1,72
TX,Galveston,102,1,32,9391,21,221,,9636,56,,3,21,2119,85,73,3474,575,122,43,2,46
TX,Garza,7,1,3,104,1,44,,77,6,,0,1,50,0,1,87,6,4,3,0,5
TX,Gillespie,7,1,2,449,0,10,,578,3,,,,,,,,,,,,
TX,Gillespie,10,1,,,,,,,,,0,19,501,3,25,1597,174,60,20,0,46
TX,Glasscock,5,5,0,11,0,0,,8,0,,0,8,105,2,0,250,40,9,8,0,20
TX,Goliad,12,4,,,,,,,,,0,3,96,2,3,273,49,8,3,0,5
TX,Goliad,12,5,2,544,4,15,,376,4,,,,,,,,,,,,
TX,Gonzales,15,2,7,682,9,75,,544,31,,,,,,,,,,,,
TX,Gonzales,15,8,,,,,,,,,0,2,252,1,1,385,61,9,5,0,9
TX,Gray,8,8,3,738,3,37,,421,10,,0,23,1412,9,9,1538,48,37,23,1,47
TX,Grayson,55,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Gregg,24,1,3,2102,4,31,,3283,6,,2,12,2048,10,24,3141,128,68,39,1,62
TX,Grimes,15,1,0,292,0,10,,211,2,,0,1,120,6,1,199,21,7,5,1,7
TX,Guadalupe,39,5,4,2836,5,40,,3392,9,,2,23,1718,16,30,3179,288,146,35,1,104
TX,Hale,6,5,2,834,1,22,,591,10,,0,5,727,3,6,613,23,8,11,2,8
TX,Hall,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hall,8,8,11,493,0,59,,205,45,,,,,,,,,,,,
TX,Hamilton,5,5,9,800,8,82,,507,18,,2,3,314,2,3,385,26,11,10,0,5
TX,Hansford,2,2,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Hansford,9,9,,,,,,,,,1,14,459,5,2,654,22,18,11,1,48
TX,Hardeman,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hardeman,6,6,17,640,6,139,,246,38,,,,,,,,,,,,
TX,Hardin,20,1,,,,,,,,,0,3,254,1,10,342,30,5,8,0,3
TX,Hardin,20,7,29,2295,15,268,,857,52,,,,,,,,,,,,
TX,Harris,875,0,,,,,,,,,24,268,18884,1217,492,35923,3281,2428,546,58,1712
