county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
Sullivan,1,1,1,74,0,42,1,5,71,10,5,21,1,0,32,14,35,0,1

Sunapee,1,1,3,252,0,162,1,7,348,54,79,75,4,0,364,34,241,0,7

Surry,1,1,0,69,0,47,0,4,90,15,13,25,0,0,74,17,46,0,1


Sutton,1,1,2,154,0,87,0,16,250,36,51,45,0,0,160,31,119,0,3




Swanzey,1,1,2,603,0,276,1,24,553,100,88,145,7,1,413,69,248,2,17

Tamworth,1,1,2,184,0,121,1,11,269,53,28,52,3,0,225,50,123,1,10


Temple,1,1,0,97,0,73,1,10,199,15,22,36,0,1,124,15,108,1,7

Thornton,1,1,4,217,0,90,4,7,202,34,31,53,0,0,235,34,88,0,2

Tilton,1,1,3,281,0,164,0,2,282,25,44,92,3,0,254,52,162,0,11


Troy,1,1,0,215,0,63,0,14,159,16,25,58,4,0,110,37,67,0,1

Tuftonboro,1,1,2,165,0,82,1,7,236,22,52,58,2,0,273,48,318,0,8


Unity,1,1,0,107,0,78,0,2,107,15,20,21,0,0,81,21,69,0,0

Wakefield,1,1,1,363,0,158,0,7,238,32,93,111,3,1,377,82,271,0,28

Walpole,1,1,4,319,0,151,2,23,489,57,51,50,9,0,275,47,177,0,0


Warner,1,1,1,238,0,178,0,16,303,46,60,63,6,2,218,67,160,0,6

Warren,1,1,0,77,0,41,0,5,39,9,15,24,3,0,81,19,28,0,0

Washington,1,1,1,58,0,41,0,4,77,11,25,37,0,1,97,28,61,0,0


Waterville,1,1,0,33,0,5,0,2,53,6,3,9,0,0,32,1,24,0,0

Weare,1,1,3,630,1,255,1,21,580,97,187,258,14,2,662,172,574,0,22

Webster,1,1,0,181,0,104,2,2,191,33,40,46,0,0,159,40,92,0,0


Wentworth,1,1,0,65,0,31,0,3,53,7,9,24,1,0,62,46,45,0,3

Wentworth's Location,1,1,0,1,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0

Westmoreland,1,1,1,128,0,114,1,24,213,33,22,45,2,0,138,14,95,4,3


Whitefield,1,1,1,155,1,89,0,7,137,23,40,77,0,1,140,36,52,3,6

Wilmot,1,1,0,87,0,63,0,12,207,23,34,27,1,0,124,17,75,0,2

Wilton,1,1,3,284,1,180,2,39,386,73,56,99,4,2,283,81,245,0,9


Winchester,1,1,3,403,2,116,2,24,236,26,28,89,1,0,173,41,98,0,0

Windham,1,1,11,1069,1,355,1,19,819,77,266,233,8,4,1065,148,1514,2,28

Windsor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


Wolfeboro,1,1,5,517,1,250,2,14,640,60,149,161,2,5,675,116,789,0,19

Woodstock,1,1,1,112,1,39,0,2,115,15,23,24,1,0,105,12,57,0,4

